Driver,LapNumber,Stint,Compound,TyreLife,FreshTyre,LapTime,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,SpeedST,Position,RaceElapsedTime,AirTemp,Humidity,TrackTemp,WindSpeed,WindDirection,TrackStatus,PitStopNextLap,LapsRemaining
2,50.0,2.0,2,28.0,0,-0.22692715873561112,-0.18524380053027215,-0.029193173513943703,-0.10825551408324206,309.0,311.0,311.0,314.0,10.0,4311.324,30.0,41.0,40.8,1.6,152,1,0,1.0
3,1.0,1.0,2,1.0,1,1.5497911742994332,-0.169957864884912,4.422422050385385,0.44230006692348467,326.0,310.0,307.0,258.0,12.0,0.0,29.3,41.0,42.8,0.6,332,1,0,51.0
3,2.0,1.0,2,2.0,1,0.06835842337443782,-0.09083066860304534,0.7352032867685215,0.2737043267190028,311.0,311.0,308.0,316.0,11.0,93.489,29.2,41.0,42.5,1.5,4,1,0,50.0
3,3.0,1.0,2,3.0,1,-0.0612113329940043,-0.09412763511478955,0.19614913558666808,0.07272296410236155,313.0,328.0,308.0,312.0,11.0,181.501,29.2,40.0,43.1,1.0,189,1,0,49.0
3,4.0,1.0,2,4.0,1,-0.1515765064269259,-0.18824104281367665,0.10557036428151967,0.10129851328955963,315.0,329.0,309.0,325.0,11.0,269.047,29.4,39.0,43.2,1.3,23,1,0,48.0
3,5.0,1.0,2,5.0,1,-0.20384928367427999,-0.2391941616315449,0.24475237872602004,0.02414453048411907,317.0,329.0,309.0,339.0,11.0,356.268,29.5,40.0,43.1,0.8,204,1,0,47.0
3,6.0,1.0,2,6.0,1,-0.16436665405128015,-0.23379912552141846,0.2933556218653641,0.12130139772060065,318.0,326.0,309.0,334.0,11.0,443.301,29.5,42.0,43.3,1.6,145,1,0,46.0
3,7.0,1.0,2,7.0,1,-0.23276613917281572,-0.2077231176558023,-0.22802462272036494,0.028907122015321567,317.0,328.0,311.0,326.0,11.0,530.476,29.7,41.0,43.4,1.7,164,1,0,45.0
3,8.0,1.0,2,8.0,1,-0.22887348554801396,-0.28115555359920175,0.3485865799782559,0.027002085402839215,313.0,312.0,306.0,351.0,10.0,617.405,29.7,42.0,43.6,2.4,0,1,0,44.0
3,9.0,1.0,2,9.0,1,-0.10653294305420874,-0.13908626936584984,-0.031402411838454346,0.15844961166396254,313.0,311.0,306.0,317.0,10.0,704.348,29.7,43.0,43.6,1.0,162,1,0,43.0
